"Australia ";"2001";"10455"
"							
Austria ";"2001";"4164"
"							
Canada ";"2001";"7068"
"							
China ";"2001";"8738"
"							
Denmark ";"2001";"3854"
"							
France ";"2001";"21187"
"							
Germany ";"2001";"21577"
"							
India ";"2001";"64320"
"							
Italy ";"2001";"8745"
"							
Japan ";"2001";"28830"
"							
Netherlands ";"2001";"13662"
"							
Spain ";"2001";"5897"
"							
Switzerland ";"2001";"5649"
"							
Sri Lanka ";"2001";"9844"
"							
U.S.A. ";"2001";"32052"
"							
U.K. ";"2001";"33533"
"							
Others ";"2001";"81662"
"							
Not Specified ";"2001";"0"
"							
Australia ";"2002";"7159"
"							
Austria ";"2002";"3140"
"							
Canada ";"2002";"3747"
"							
China ";"2002";"8715"
"							
Denmark ";"2002";"2040"
"							
France ";"2002";"13376"
"							
Germany ";"2002";"15774"
"							
India ";"2002";"66777"
"							
Italy ";"2002";"8057"
"							
Japan ";"2002";"23223"
"							
Netherlands ";"2002";"8306"
"							
Spain ";"2002";"5267"
"							
Switzerland ";"2002";"3352"
"							
Sri Lanka ";"2002";"9805"
"							
U.S.A. ";"2002";"17518"
"							
U.K. ";"2002";"21007"
"							
Others ";"2002";"58205"
"							
Not Specified ";"2002";"0"
"							
Australia ";"2003";"7916"
"							
Austria ";"2003";"3025"
"							
Canada ";"2003";"4154"
"							
China ";"2003";"7562"
"							
Denmark ";"2003";"2178"
"							
France ";"2003";"15865"
"							
Germany ";"2003";"14866"
"							
India ";"2003";"86363"
"							
Italy ";"2003";"8243"
"							
Japan ";"2003";"27412"
"							
Netherlands ";"2003";"8443"
"							
Spain ";"2003";"8265"
"							
Switzerland ";"2003";"3246"
"							
Sri Lanka ";"2003";"13930"
"							
U.S.A. ";"2003";"18838"
"							
U.K. ";"2003";"22101"
"							
Others ";"2003";"85725"
"							
Not Specified ";"2003";"0"
"							
Australia ";"2004";"9671"
"							
Austria ";"2004";"4341"
"							
Canada ";"2004";"4825"
"							
China ";"2004";"13326"
"							
Denmark ";"2004";"2633"
"							
France ";"2004";"18938"
"							
Germany ";"2004";"16025"
"							
India ";"2004";"90326"
"							
Italy ";"2004";"12376"
"							
Japan ";"2004";"24231"
"							
Netherlands ";"2004";"11160"
"							
Spain ";"2004";"11767"
"							
Switzerland ";"2004";"3788"
"							
Sri Lanka ";"2004";"16124"
"							
U.S.A. ";"2004";"20680"
"							
U.K. ";"2004";"24667"
"							
Others ";"2004";"100419"
"							
Not Specified ";"2004";"0"
"							
Australia ";"2005";"7093"
"							
Austria ";"2005";"3007"
"							
Canada ";"2005";"4168"
"							
China ";"2005";"22377"
"							
Denmark ";"2005";"1770"
"							
France ";"2005";"14108"
"							
Germany ";"2005";"14345"
"							
India ";"2005";"95685"
"							
Italy ";"2005";"8785"
"							
Japan ";"2005";"18239"
"							
Netherlands ";"2005";"8947"
"							
Spain ";"2005";"8891"
"							
Switzerland ";"2005";"3163"
"							
Sri Lanka ";"2005";"18770"
"							
U.S.A. ";"2005";"18539"
"							
U.K. ";"2005";"25151"
"							
Others ";"2005";"102360"
"							
Not Specified ";"2005";"0"
"							
Australia ";"2006";"8231"
"							
Austria ";"2006";"3474"
"							
Canada ";"2006";"4733"
"							
China ";"2006";"17538"
"							
Denmark ";"2006";"1956"
"							
France ";"2006";"14835"
"							
Germany ";"2006";"14361"
"							
India ";"2006";"93722"
"							
Italy ";"2006";"7736"
"							
Japan ";"2006";"22242"
"							
Netherlands ";"2006";"7207"
"							
Spain ";"2006";"10377"
"							
Switzerland ";"2006";"3559"
"							
Sri Lanka ";"2006";"27413"
"							
U.S.A. ";"2006";"19833"
"							
U.K. ";"2006";"22708"
"							
Others ";"2006";"99996"
"							
Not Specified ";"2006";"4005"
"							
Australia ";"2007";"12369"
"							
Austria ";"2007";"4473"
"							
Canada ";"2007";"7399"
"							
China ";"2007";"28618"
"							
Denmark ";"2007";"3157"
"							
France ";"2007";"20250"
"							
Germany ";"2007";"21323"
"							
India ";"2007";"96010"
"							
Italy ";"2007";"11243"
"							
Japan ";"2007";"27058"
"							
Netherlands ";"2007";"10589"
"							
Spain ";"2007";"15672"
"							
Switzerland ";"2007";"5238"
"							
Sri Lanka ";"2007";"49947"
"							
U.S.A. ";"2007";"29783"
"							
U.K. ";"2007";"32367"
"							
Others ";"2007";"147694"
"							
Not Specified ";"2007";"3515"
"							
Australia ";"2008";"13846"
"							
Austria ";"2008";"3540"
"							
Canada ";"2008";"8132"
"							
China ";"2008";"35166"
"							
Denmark ";"2008";"3847"
"							
France ";"2008";"22402"
"							
Germany ";"2008";"18552"
"							
India ";"2008";"91177"
"							
Italy ";"2008";"7914"
"							
Japan ";"2008";"23383"
"							
Netherlands ";"2008";"10900"
"							
Spain ";"2008";"13851"
"							
Switzerland ";"2008";"5186"
"							
Sri Lanka ";"2008";"37817"
"							
U.S.A. ";"2008";"30076"
"							
U.K. ";"2008";"33658"
"							
Others ";"2008";"136823"
"							
Not Specified ";"2008";"4007"
"							
Australia ";"2009";"15461"
"							
Austria ";"2009";"3245"
"							
Canada ";"2009";"8965"
"							
China ";"2009";"32272"
"							
Denmark ";"2009";"4464"
"							
France ";"2009";"22154"
"							
Germany ";"2009";"19246"
"							
India ";"2009";"93884"
"							
Italy ";"2009";"7982"
"							
Japan ";"2009";"22445"
"							
Netherlands ";"2009";"11147"
"							
Spain ";"2009";"13006"
"							
Switzerland ";"2009";"5281"
"							
Sri Lanka ";"2009";"36362"
"							
U.S.A. ";"2009";"32043"
"							
U.K. ";"2009";"35382"
"							
Others ";"2009";"140574"
"							
Not Specified ";"2009";"6043"
"							
Australia ";"2010";"16243"
"							
Austria ";"2010";"3389"
"							
Canada ";"2010";"9322"
"							
China ";"2010";"46360"
"							
Denmark ";"2010";"4359"
"							
France ";"2010";"24550"
"							
Germany ";"2010";"22583"
"							
India ";"2010";"120898"
"							
Italy ";"2010";"10226"
"							
Japan ";"2010";"23332"
"							
Netherlands ";"2010";"13471"
"							
Spain ";"2010";"13712"
"							
Switzerland ";"2010";"5320"
"							
Sri Lanka ";"2010";"45531"
"							
U.S.A. ";"2010";"36425"
"							
U.K. ";"2010";"35091"
"							
Others ";"2010";"168590"
"							
Not Specified ";"2010";"3465"
"							
Australia ";"2011";"19824"
"							
Austria ";"2011";"3998"
"							
Canada ";"2011";"11404"
"							
China ";"2011";"61917"
"							
Denmark ";"2011";"6138"
"							
France ";"2011";"26720"
"							
Germany ";"2011";"27472"
"							
India ";"2011";"149504"
"							
Italy ";"2011";"12621"
"							
Japan ";"2011";"26283"
"							
Netherlands ";"2011";"16836"
"							
Spain ";"2011";"16037"
"							
Switzerland ";"2011";"11020"
"							
Sri Lanka ";"2011";"59884"
"							
U.S.A. ";"2011";"42875"
"							
U.K. ";"2011";"39091"
"							
Others ";"2011";"179158"
"							
Not Specified ";"2011";"25433"
